"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.38476820232608e-27,2.56125590620922,0.907,0.521,2.07884361219001e-22,"0","SERINC5"
2.7721158543657e-19,3.19371144447797,0.691,0.235,1.07020304673642e-14,"0","PLCL1"
3.42269806938301e-17,2.54810839181515,0.732,0.315,1.32136681666601e-12,"0","LDLRAD4"
5.53483638402126e-15,2.97467168107583,0.577,0.192,2.13677893441525e-10,"0","TSHZ2"
3.0663449380614e-14,2.45643501559094,0.577,0.202,1.18379312678799e-09,"0","GNAQ"
3.22133372818325e-14,3.27175164019277,0.464,0.108,1.24362809910243e-09,"0","MAN1C1"
8.34775844911953e-14,2.71895488752003,0.515,0.155,3.22273562686708e-09,"0","PVT1"
5.22268204035152e-13,2.53047390200294,0.557,0.197,2.01626862849811e-08,"0","PKIA"
8.18958865151545e-13,3.07236140229849,0.495,0.16,3.16167259480406e-08,"0","CSGALNACT1"
2.20248419744718e-11,2.53428315810639,0.454,0.136,8.50291049266458e-07,"0","TIAM1"
5.62024077836663e-11,2.87969828273304,0.474,0.16,2.16975015489622e-06,"0","ANK3"
4.05343657009277e-08,2.51261259568492,0.309,0.075,0.00156486972225002,"0","CCDC141"
4.66896458286563e-08,2.57103452668905,0.32,0.089,0.00180250046686111,"0","KLHL22"
6.76255418077178e-08,2.64775723908233,0.464,0.211,0.00261075166702875,"0","FAAH2"
1.48319839025022e-07,3.11446432081081,0.258,0.056,0.00572603570539998,"0","CDHR3"
1.69877837612146e-07,2.65743582709726,0.443,0.197,0.00655830379885449,"0","TOX"
1.77177511708141e-07,2.69515606374496,0.33,0.103,0.00684011501700449,"0","MFHAS1"
9.45436792558604e-07,2.88249765228862,0.299,0.094,0.0364995328135175,"0","CMTM8"
1.79005530125299e-06,2.58572085040361,0.278,0.085,0.0691068749601728,"0","CEP128"
0.000170795095967183,2.48096183183442,0.299,0.141,1,"0","TRERF1"
4.82639709090545e-21,3.33128726590281,0.64,0.128,1.86327886091496e-16,"1","CCL5"
